PacketCounter,SampleTimeFine,Pelvis_Acc_X,Pelvis_Acc_Y,Pelvis_Acc_Z,Pelvis_Gyr_X,Pelvis_Gyr_Y,Pelvis_Gyr_Z,RT_Acc_X,RT_Acc_Y,RT_Acc_Z,RT_Gyr_X,RT_Gyr_Y,RT_Gyr_Z,LT_Acc_X,LT_Acc_Y,LT_Acc_Z,LT_Gyr_X,LT_Gyr_Y,LT_Gyr_Z,RS_Acc_X,RS_Acc_Y,RS_Acc_Z,RS_Gyr_X,RS_Gyr_Y,RS_Gyr_Z,LS_Acc_X,LS_Acc_Y,LS_Acc_Z,LS_Gyr_X,LS_Gyr_Y,LS_Gyr_Z
52404,0,9.166841,-2.039538,0.969246,1.013502,0.078851,0.31094,8.171192,2.126199,0.624302,0.287247,-0.163307,0.182877,9.41402,0.733268,-1.774756,0.763558,-0.103112,0.582739,6.285233,-1.492366,4.936078,-0.130927,-0.339104,1.978204,9.956826,0.166104,-1.990572,0.543482,0.12703,0.298692
52405,0,9.123713,-2.048035,1.011228,1.01499,0.068665,0.315403,7.80895,-0.241809,0.659572,0.119019,-0.222817,-0.044403,9.945699,0.805401,-1.370343,0.711829,-0.080911,0.568548,8.25432,-2.638151,5.815372,0.037997,-0.171559,2.487667,9.673735,0.153132,-1.443896,0.606197,0.134583,0.326387
52406,0,9.132396,-2.276053,0.78553,1.045661,0.091897,0.317006,8.229706,-1.991189,1.116723,0.428468,-0.201188,-0.262528,9.696694,0.499878,-0.885774,0.789536,-0.01751,0.544287,9.64201,-1.914564,4.67443,0.438124,-0.091104,2.925635,9.381841,0.337099,-1.082138,0.652661,0.113183,0.391963
52407,0,8.748859,-2.607349,0.829933,1.107347,0.104486,0.302129,8.539624,-2.372077,1.833411,0.884867,-0.112954,-0.442205,9.713094,0.190037,-0.437158,0.925724,0.0943,0.460516,11.617798,-0.848817,4.357117,0.504175,0.076914,3.240455,9.120094,0.248624,-0.817955,0.684934,0.051728,0.473789
52408,0,8.496418,-3.030029,0.983505,1.187002,0.114328,0.303045,8.618632,-2.680847,2.832222,1.417504,0.035821,-0.581261,9.687835,0.06704,-0.084938,1.04097,0.201076,0.349393,13.49774,-0.675701,3.239029,0.401056,0.340508,3.392492,9.420124,-0.020139,-1.002207,0.871592,-0.029412,0.51602
52409,0,8.632112,-3.518505,1.175649,1.273639,0.145114,0.31037,9.172771,-2.355537,4.01263,1.957608,0.186319,-0.626252,10.07044,-0.392364,-0.049819,1.231408,0.31964,0.172122,14.176508,-2.635235,2.842999,0.498229,0.606161,3.327476,9.480669,0.041289,-0.90744,1.11788,-0.12028,0.576335
52410,0,9.032443,-3.654854,1.419583,1.332809,0.220189,0.34127,10.159272,-1.525858,5.083527,2.314952,0.340942,-0.581857,10.048147,-0.654223,-0.848268,1.44062,0.443585,-0.05665,14.941881,-3.408358,2.573994,1.320704,0.603525,3.004461,9.790369,0.382998,-1.601892,1.33556,-0.185628,0.625321
52411,0,9.448169,-3.463597,1.275921,1.335786,0.321472,0.39689,9.493203,-1.034227,6.026251,2.189273,0.505402,-0.451382,9.941371,-0.021251,-1.04685,1.627524,0.665155,-0.274668,14.317789,-1.924681,1.530503,2.596503,0.662489,2.546484,9.719082,0.220757,-2.235908,1.703979,-0.292523,0.683469
52412,0,9.680965,-3.228898,1.664089,1.376991,0.51374,0.487532,9.074482,-0.988214,5.865405,2.067596,0.302025,-0.26895,10.83909,0.205912,0.632627,1.737648,1.06985,-0.602449,13.567498,-0.033852,-1.35404,3.487572,0.71608,1.992686,9.867992,0.517954,-2.342168,2.403096,-0.476339,0.699172
52413,0,8.905141,-2.713928,2.572118,1.475194,0.708986,0.552196,9.457477,-1.609652,5.33611,1.852301,0.235758,-0.09705,10.59937,-0.750212,2.229263,1.977817,1.532261,-0.933915,10.705896,1.756949,-3.536177,3.819551,0.704183,1.542975,9.009204,0.45778,-2.76288,3.060176,-0.765015,0.686271
